cd,class_cat,count_tot,FOL_eng,FOL_fra,in,out
0,All,2216473,1508994,707479,163948,2052525
0,Administrative Support,502564,345238,157326,19259,483305
0,Administrative and Foreign Service,1133721,735892,397829,95236,1038485
0,Executive Group,28968,18627,10341,5334,23634
0,Operational,75541,53835,21706,3272,72269
0,Other,49960,40438,9522,4421,45539
0,Scientific and Professional,323635,236486,87149,29650,293985
0,Technical,102084,78478,23606,6776,95308
1001,Administrative Support,6569,6496,73,421,6148
1001,Administrative and Foreign Service,13974,13730,244,633,13341
1001,Executive Group,118,117,1,0,118
1001,Operational,1225,1215,10,20,1205
1001,Other,1652,1633,19,0,1652
1001,Scientific and Professional,3193,3097,96,318,2875
1001,Technical,3868,3827,41,203,3665
1002,Administrative Support,126,124,2,0,126
1002,Administrative and Foreign Service,139,136,3,0,139
1002,Operational,94,94,0,0,94
1002,Other,5,5,0,0,5
1002,Scientific and Professional,18,18,0,0,18
1002,Technical,50,50,0,0,50
1003,Administrative Support,77,74,3,10,67
1003,Administrative and Foreign Service,123,112,11,17,106
1003,Executive Group,2,2,0,0,2
1003,Operational,148,147,1,0,148
1003,Other,7,7,0,0,7
1003,Scientific and Professional,25,25,0,0,25
1003,Technical,81,78,3,1,80
1004,Administrative Support,118,118,0,0,118
1004,Administrative and Foreign Service,186,186,0,0,186
1004,Operational,55,55,0,0,55
1004,Other,1,1,0,0,1
1004,Scientific and Professional,49,49,0,0,49
1004,Technical,83,83,0,0,83
1005,Administrative Support,1014,989,25,2,1012
1005,Administrative and Foreign Service,1099,1074,25,4,1095
1005,Executive Group,6,6,0,0,6
1005,Operational,78,78,0,1,77
1005,Other,99,99,0,0,99
1005,Scientific and Professional,198,194,4,5,193
1005,Technical,263,262,1,0,263
1006,Administrative Support,442,438,4,64,378
1006,Administrative and Foreign Service,619,613,6,5,614
1006,Executive Group,1,1,0,0,1
1006,Operational,115,112,3,0,115
1006,Other,67,67,0,0,67
1006,Scientific and Professional,122,115,7,11,111
1006,Technical,196,194,2,0,196
1007,Administrative Support,229,223,6,1,228
1007,Administrative and Foreign Service,228,223,5,0,228
1007,Executive Group,3,3,0,0,3
1007,Operational,186,182,4,3,183
1007,Other,180,180,0,0,180
1007,Scientific and Professional,53,53,0,0,53
1007,Technical,182,178,4,0,182
1008,Administrative Support,155,155,0,0,155
1008,Administrative and Foreign Service,122,120,2,1,121
1008,Executive Group,2,2,0,0,2
1008,Operational,82,82,0,0,82
1008,Other,22,22,0,0,22
1008,Scientific and Professional,23,23,0,0,23
1008,Technical,118,115,3,1,117
1009,Administrative Support,80,80,0,0,80
1009,Administrative and Foreign Service,136,128,8,0,136
1009,Operational,227,222,5,0,227
1009,Other,63,63,0,0,63
1009,Scientific and Professional,15,15,0,0,15
1009,Technical,164,149,15,0,164
1010,Administrative Support,238,238,0,40,198
1010,Administrative and Foreign Service,496,467,29,17,479
1010,Executive Group,3,3,0,0,3
1010,Operational,89,89,0,0,89
1010,Other,27,26,1,0,27
1010,Scientific and Professional,88,85,3,0,88
1010,Technical,175,170,5,2,173
1011,Administrative Support,1,1,0,0,1
1011,Administrative and Foreign Service,13,12,1,0,13
1011,Scientific and Professional,15,15,0,0,15
1011,Technical,4,4,0,0,4
1100,Administrative Support,9,9,0,0,9
1100,Administrative and Foreign Service,24,14,10,0,24
1100,Operational,1,1,0,0,1
1100,Scientific and Professional,8,0,8,0,8
1100,Technical,4,1,3,0,4
1101,Administrative Support,711,701,10,0,711
1101,Administrative and Foreign Service,871,858,13,5,866
1101,Executive Group,3,3,0,0,3
1101,Operational,100,100,0,0,100
1101,Other,61,61,0,0,61
1101,Scientific and Professional,123,119,4,0,123
1101,Technical,87,86,1,0,87
1102,Administrative Support,6285,5991,294,326,5959
1102,Administrative and Foreign Service,9825,9090,735,1150,8675
1102,Executive Group,109,91,18,11,98
1102,Operational,404,396,8,3,401
1102,Other,494,453,41,0,494
1102,Scientific and Professional,1044,978,66,66,978
1102,Technical,813,782,31,21,792
1103,Administrative Support,1266,1172,94,104,1162
1103,Administrative and Foreign Service,1612,1442,170,3,1609
1103,Executive Group,7,6,1,0,7
1103,Operational,116,114,2,0,116
1103,Other,125,116,9,0,125
1103,Scientific and Professional,134,127,7,0,134
1103,Technical,187,173,14,0,187
1200,Administrative Support,3,3,0,0,3
1200,Administrative and Foreign Service,25,21,4,0,25
1200,Operational,1,0,1,0,1
1200,Other,6,6,0,0,6
1200,Scientific and Professional,29,17,12,0,29
1200,Technical,10,4,6,0,10
1201,Administrative Support,44,44,0,0,44
1201,Administrative and Foreign Service,68,68,0,0,68
1201,Executive Group,2,2,0,0,2
1201,Operational,21,21,0,0,21
1201,Other,2,2,0,0,2
1201,Scientific and Professional,11,11,0,0,11
1201,Technical,45,44,1,0,45
1202,Administrative Support,106,97,9,1,105
1202,Administrative and Foreign Service,168,147,21,1,167
1202,Executive Group,2,1,1,0,2
1202,Operational,28,28,0,0,28
1202,Other,18,18,0,0,18
1202,Scientific and Professional,35,35,0,0,35
1202,Technical,75,67,8,0,75
1203,Administrative Support,90,68,22,0,90
1203,Administrative and Foreign Service,137,105,32,0,137
1203,Executive Group,3,2,1,0,3
1203,Operational,44,40,4,0,44
1203,Other,14,8,6,0,14
1203,Scientific and Professional,20,18,2,0,20
1203,Technical,41,36,5,0,41
1204,Administrative Support,54,53,1,0,54
1204,Administrative and Foreign Service,84,81,3,0,84
1204,Operational,59,59,0,0,59
1204,Other,19,19,0,0,19
1204,Scientific and Professional,33,32,1,0,33
1204,Technical,15,15,0,0,15
1205,Administrative Support,288,260,28,9,279
1205,Administrative and Foreign Service,233,195,38,0,233
1205,Executive Group,1,1,0,0,1
1205,Operational,278,273,5,0,278
1205,Other,26,19,7,0,26
1205,Scientific and Professional,28,28,0,0,28
1205,Technical,59,59,0,0,59
1206,Administrative Support,167,155,12,17,150
1206,Administrative and Foreign Service,468,449,19,0,468
1206,Executive Group,6,6,0,0,6
1206,Operational,134,132,2,0,134
1206,Other,30,30,0,0,30
1206,Scientific and Professional,90,90,0,0,90
1206,Technical,171,168,3,0,171
1207,Administrative Support,933,843,90,0,933
1207,Administrative and Foreign Service,1189,1098,91,6,1183
1207,Executive Group,8,7,1,0,8
1207,Operational,551,524,27,22,529
1207,Other,184,176,8,0,184
1207,Scientific and Professional,350,347,3,0,350
1207,Technical,269,256,13,2,267
1208,Administrative Support,504,493,11,0,504
1208,Administrative and Foreign Service,959,921,38,1,958
1208,Executive Group,10,10,0,0,10
1208,Operational,237,219,18,0,237
1208,Other,66,66,0,0,66
1208,Scientific and Professional,180,180,0,0,180
1208,Technical,284,276,8,0,284
1209,Administrative Support,10435,9908,527,521,9914
1209,Administrative and Foreign Service,20180,18946,1234,1248,18932
1209,Executive Group,370,302,68,25,345
1209,Operational,2571,2446,125,531,2040
1209,Other,928,848,80,0,928
1209,Scientific and Professional,5776,5490,286,563,5213
1209,Technical,3663,3465,198,378,3285
1210,Administrative Support,353,352,1,0,353
1210,Administrative and Foreign Service,892,850,42,17,875
1210,Executive Group,12,11,1,0,12
1210,Operational,321,317,4,4,317
1210,Other,24,24,0,0,24
1210,Scientific and Professional,214,188,26,0,214
1210,Technical,326,314,12,43,283
1211,Administrative Support,374,373,1,79,295
1211,Administrative and Foreign Service,794,774,20,128,666
1211,Executive Group,8,8,0,0,8
1211,Operational,465,460,5,2,463
1211,Other,24,24,0,0,24
1211,Scientific and Professional,85,84,1,0,85
1211,Technical,98,95,3,0,98
1212,Administrative Support,165,165,0,0,165
1212,Administrative and Foreign Service,468,462,6,0,468
1212,Executive Group,4,4,0,0,4
1212,Operational,122,121,1,0,122
1212,Other,36,36,0,0,36
1212,Scientific and Professional,77,77,0,0,77
1212,Technical,141,141,0,0,141
1213,Administrative Support,61,60,1,18,43
1213,Administrative and Foreign Service,46,46,0,0,46
1213,Operational,31,31,0,0,31
1213,Other,4,4,0,0,4
1213,Scientific and Professional,9,9,0,0,9
1213,Technical,18,18,0,0,18
1214,Administrative Support,146,144,2,22,124
1214,Administrative and Foreign Service,248,247,1,1,247
1214,Executive Group,9,9,0,0,9
1214,Operational,48,46,2,0,48
1214,Other,28,18,10,0,28
1214,Scientific and Professional,119,119,0,0,119
1214,Technical,59,58,1,0,59
1215,Administrative Support,108,100,8,0,108
1215,Administrative and Foreign Service,126,105,21,2,124
1215,Executive Group,2,1,1,0,2
1215,Operational,88,70,18,0,88
1215,Other,25,16,9,0,25
1215,Scientific and Professional,50,37,13,0,50
1215,Technical,105,86,19,0,105
1216,Administrative Support,77,71,6,0,77
1216,Administrative and Foreign Service,59,55,4,0,59
1216,Operational,37,33,4,0,37
1216,Other,7,7,0,0,7
1216,Scientific and Professional,12,11,1,0,12
1216,Technical,39,32,7,0,39
1217,Administrative Support,7238,7142,96,0,7238
1217,Administrative and Foreign Service,4742,4595,147,108,4634
1217,Executive Group,49,35,14,0,49
1217,Operational,351,340,11,21,330
1217,Other,643,629,14,0,643
1217,Scientific and Professional,299,278,21,35,264
1217,Technical,495,431,64,56,439
1218,Administrative Support,54,52,2,0,54
1218,Administrative and Foreign Service,67,64,3,0,67
1218,Operational,17,17,0,0,17
1218,Other,37,37,0,0,37
1218,Scientific and Professional,23,21,2,0,23
1218,Technical,50,46,4,0,50
1300,Administrative Support,19,12,7,0,19
1300,Administrative and Foreign Service,52,38,14,0,52
1300,Operational,1,1,0,0,1
1300,Other,4,4,0,0,4
1300,Scientific and Professional,7,7,0,0,7
1300,Technical,5,5,0,0,5
1301,Administrative Support,1086,1006,80,0,1086
1301,Administrative and Foreign Service,1556,1436,120,13,1543
1301,Executive Group,14,13,1,0,14
1301,Operational,131,129,2,0,131
1301,Other,93,88,5,0,93
1301,Scientific and Professional,252,218,34,0,252
1301,Technical,203,163,40,0,203
1302,Administrative Support,328,323,5,2,326
1302,Administrative and Foreign Service,499,473,26,16,483
1302,Executive Group,2,2,0,0,2
1302,Operational,52,52,0,0,52
1302,Other,19,19,0,0,19
1302,Scientific and Professional,150,141,9,0,150
1302,Technical,163,155,8,0,163
1303,Administrative Support,2338,1981,357,77,2261
1303,Administrative and Foreign Service,2306,1754,552,86,2220
1303,Executive Group,5,2,3,0,5
1303,Operational,842,798,44,61,781
1303,Other,42,39,3,0,42
1303,Scientific and Professional,146,109,37,0,146
1303,Technical,182,137,45,0,182
1304,Administrative Support,190,185,5,4,186
1304,Administrative and Foreign Service,155,149,6,3,152
1304,Operational,155,152,3,0,155
1304,Other,8,8,0,0,8
1304,Scientific and Professional,15,14,1,0,15
1304,Technical,17,14,3,0,17
1305,Administrative Support,1004,904,100,0,1004
1305,Administrative and Foreign Service,1503,1381,122,9,1494
1305,Executive Group,12,10,2,0,12
1305,Operational,192,191,1,0,192
1305,Other,248,240,8,0,248
1305,Scientific and Professional,205,192,13,0,205
1305,Technical,234,224,10,0,234
1306,Administrative Support,1159,957,202,0,1159
1306,Administrative and Foreign Service,1677,1372,305,0,1677
1306,Executive Group,22,14,8,0,22
1306,Operational,174,151,23,0,174
1306,Other,195,186,9,0,195
1306,Scientific and Professional,184,165,19,0,184
1306,Technical,214,190,24,0,214
1307,Administrative Support,10236,3564,6672,704,9532
1307,Administrative and Foreign Service,15447,5073,10374,2313,13134
1307,Executive Group,241,74,167,37,204
1307,Operational,830,437,393,2,828
1307,Other,567,213,354,0,567
1307,Scientific and Professional,1372,427,945,115,1257
1307,Technical,1025,420,605,40,985
1308,Administrative Support,1845,484,1361,0,1845
1308,Administrative and Foreign Service,2188,588,1600,0,2188
1308,Executive Group,26,0,26,0,26
1308,Operational,212,65,147,0,212
1308,Other,104,39,65,0,104
1308,Scientific and Professional,140,32,108,0,140
1308,Technical,194,48,146,0,194
1309,Administrative Support,5549,4650,899,633,4916
1309,Administrative and Foreign Service,8159,6391,1768,980,7179
1309,Executive Group,29,16,13,2,27
1309,Operational,408,350,58,3,405
1309,Other,93,44,49,0,93
1309,Scientific and Professional,234,160,74,0,234
1309,Technical,218,179,39,1,217
1310,Administrative Support,3772,3166,606,37,3735
1310,Administrative and Foreign Service,5004,3799,1205,232,4772
1310,Executive Group,73,45,28,10,63
1310,Operational,692,659,33,42,650
1310,Other,247,224,23,0,247
1310,Scientific and Professional,1230,1054,176,52,1178
1310,Technical,824,733,91,41,783
1311,Administrative Support,307,291,16,0,307
1311,Administrative and Foreign Service,456,412,44,3,453
1311,Executive Group,4,4,0,0,4
1311,Operational,36,36,0,0,36
1311,Other,14,13,1,0,14
1311,Scientific and Professional,48,45,3,0,48
1311,Technical,59,54,5,0,59
1312,Administrative Support,206,61,145,1,205
1312,Administrative and Foreign Service,282,88,194,0,282
1312,Executive Group,3,0,3,0,3
1312,Operational,49,34,15,0,49
1312,Scientific and Professional,45,10,35,0,45
1312,Technical,42,18,24,0,42
1313,Administrative Support,267,25,242,3,264
1313,Administrative and Foreign Service,394,29,365,22,372
1313,Executive Group,4,0,4,0,4
1313,Operational,25,3,22,0,25
1313,Other,44,0,44,0,44
1313,Scientific and Professional,85,25,60,2,83
1313,Technical,46,5,41,0,46
1314,Administrative Support,217,78,139,0,217
1314,Administrative and Foreign Service,370,126,244,14,356
1314,Operational,46,15,31,0,46
1314,Other,9,3,6,0,9
1314,Scientific and Professional,38,13,25,0,38
1314,Technical,51,18,33,0,51
1315,Administrative Support,1919,652,1267,6,1913
1315,Administrative and Foreign Service,4337,1522,2815,227,4110
1315,Executive Group,30,8,22,0,30
1315,Operational,158,47,111,0,158
1315,Other,46,15,31,0,46
1315,Scientific and Professional,156,46,110,7,149
1315,Technical,198,42,156,1,197
2400,Administrative Support,89,14,75,0,89
2400,Administrative and Foreign Service,566,89,477,0,566
2400,Executive Group,102,24,78,0,102
2400,Operational,10,4,6,0,10
2400,Other,35,16,19,0,35
2400,Scientific and Professional,213,51,162,0,213
2400,Technical,51,23,28,0,51
2401,Administrative Support,136,41,95,0,136
2401,Administrative and Foreign Service,262,56,206,26,236
2401,Executive Group,4,0,4,0,4
2401,Operational,27,0,27,0,27
2401,Other,1,1,0,0,1
2401,Scientific and Professional,53,2,51,0,53
2401,Technical,104,3,101,0,104
2402,Administrative Support,55,2,53,0,55
2402,Administrative and Foreign Service,73,11,62,0,73
2402,Operational,34,0,34,0,34
2402,Other,12,0,12,0,12
2402,Scientific and Professional,13,1,12,0,13
2402,Technical,37,3,34,1,36
2403,Administrative Support,102,5,97,0,102
2403,Administrative and Foreign Service,288,16,272,4,284
2403,Executive Group,5,0,5,0,5
2403,Operational,86,8,78,0,86
2403,Other,8,0,8,0,8
2403,Scientific and Professional,52,1,51,0,52
2403,Technical,147,2,145,0,147
2404,Administrative Support,27,3,24,0,27
2404,Administrative and Foreign Service,30,3,27,0,30
2404,Operational,42,0,42,0,42
2404,Other,1,0,1,0,1
2404,Scientific and Professional,27,0,27,0,27
2404,Technical,36,5,31,0,36
2405,Administrative Support,19,7,12,0,19
2405,Administrative and Foreign Service,64,8,56,0,64
2405,Operational,27,2,25,0,27
2405,Other,7,0,7,0,7
2405,Scientific and Professional,8,0,8,0,8
2405,Technical,28,1,27,0,28
2406,Administrative Support,59,40,19,0,59
2406,Administrative and Foreign Service,61,28,33,0,61
2406,Executive Group,1,0,1,0,1
2406,Operational,24,3,21,0,24
2406,Scientific and Professional,15,3,12,0,15
2406,Technical,10,1,9,0,10
2407,Administrative Support,101,1,100,0,101
2407,Administrative and Foreign Service,92,0,92,0,92
2407,Executive Group,1,0,1,0,1
2407,Operational,7,0,7,0,7
2407,Other,2,0,2,0,2
2407,Scientific and Professional,17,0,17,0,17
2407,Technical,13,0,13,0,13
2408,Administrative Support,1763,15,1748,518,1245
2408,Administrative and Foreign Service,1318,23,1295,141,1177
2408,Executive Group,22,8,14,4,18
2408,Operational,30,0,30,0,30
2408,Other,1,0,1,0,1
2408,Scientific and Professional,41,1,40,0,41
2408,Technical,29,1,28,0,29
2409,Administrative Support,168,2,166,9,159
2409,Administrative and Foreign Service,183,0,183,1,182
2409,Executive Group,11,0,11,4,7
2409,Operational,42,0,42,1,41
2409,Scientific and Professional,163,8,155,10,153
2409,Technical,98,3,95,3,95
2410,Administrative Support,383,3,380,0,383
2410,Administrative and Foreign Service,685,7,678,65,620
2410,Executive Group,10,2,8,0,10
2410,Operational,168,1,167,0,168
2410,Other,51,0,51,0,51
2410,Scientific and Professional,773,32,741,0,773
2410,Technical,380,5,375,0,380
2411,Administrative Support,6,0,6,0,6
2411,Administrative and Foreign Service,14,0,14,0,14
2411,Operational,29,0,29,0,29
2411,Other,2,0,2,0,2
2411,Scientific and Professional,5,0,5,0,5
2411,Technical,10,0,10,0,10
2412,Administrative Support,62,1,61,0,62
2412,Administrative and Foreign Service,172,9,163,0,172
2412,Executive Group,1,0,1,0,1
2412,Operational,48,0,48,0,48
2412,Other,19,0,19,0,19
2412,Scientific and Professional,70,4,66,0,70
2412,Technical,52,0,52,0,52
2413,Administrative Support,8,0,8,0,8
2413,Administrative and Foreign Service,32,0,32,0,32
2413,Operational,17,0,17,0,17
2413,Scientific and Professional,6,0,6,0,6
2413,Technical,26,0,26,0,26
2414,Administrative Support,14,0,14,0,14
2414,Administrative and Foreign Service,50,0,50,0,50
2414,Executive Group,1,0,1,0,1
2414,Operational,22,0,22,0,22
2414,Other,14,0,14,0,14
2414,Scientific and Professional,40,0,40,0,40
2414,Technical,17,0,17,0,17
2415,Administrative Support,20,0,20,3,17
2415,Administrative and Foreign Service,64,1,63,0,64
2415,Executive Group,2,0,2,0,2
2415,Operational,16,0,16,0,16
2415,Scientific and Professional,10,0,10,0,10
2415,Technical,19,0,19,0,19
2416,Administrative Support,32,2,30,0,32
2416,Administrative and Foreign Service,60,0,60,0,60
2416,Operational,23,0,23,0,23
2416,Other,1,0,1,0,1
2416,Scientific and Professional,3,0,3,0,3
2416,Technical,59,2,57,0,59
2417,Administrative Support,13,0,13,0,13
2417,Administrative and Foreign Service,32,0,32,0,32
2417,Executive Group,6,0,6,0,6
2417,Operational,2,0,2,0,2
2417,Other,11,0,11,0,11
2417,Scientific and Professional,4,0,4,0,4
2417,Technical,8,0,8,0,8
2418,Administrative Support,72,0,72,0,72
2418,Administrative and Foreign Service,67,0,67,0,67
2418,Executive Group,2,0,2,0,2
2418,Operational,20,0,20,0,20
2418,Other,8,0,8,0,8
2418,Scientific and Professional,10,0,10,0,10
2418,Technical,27,0,27,0,27
2419,Administrative Support,196,1,195,0,196
2419,Administrative and Foreign Service,240,3,237,0,240
2419,Executive Group,4,0,4,0,4
2419,Operational,48,1,47,0,48
2419,Other,4,0,4,0,4
2419,Scientific and Professional,48,0,48,0,48
2419,Technical,42,0,42,0,42
2420,Administrative Support,108,0,108,0,108
2420,Administrative and Foreign Service,150,1,149,0,150
2420,Executive Group,2,1,1,0,2
2420,Operational,26,0,26,0,26
2420,Other,1,0,1,0,1
2420,Scientific and Professional,38,8,30,0,38
2420,Technical,25,1,24,0,25
2421,Administrative Support,462,1,461,0,462
2421,Administrative and Foreign Service,630,17,613,1,629
2421,Executive Group,12,0,12,0,12
2421,Operational,78,0,78,0,78
2421,Other,21,0,21,0,21
2421,Scientific and Professional,111,0,111,0,111
2421,Technical,93,1,92,0,93
2422,Administrative Support,1354,74,1280,0,1354
2422,Administrative and Foreign Service,1979,89,1890,22,1957
2422,Executive Group,23,0,23,0,23
2422,Operational,274,6,268,23,251
2422,Other,13,1,12,0,13
2422,Scientific and Professional,273,22,251,0,273
2422,Technical,220,7,213,3,217
2423,Administrative Support,13285,375,12910,66,13219
2423,Administrative and Foreign Service,20483,709,19774,1071,19412
2423,Executive Group,203,20,183,0,203
2423,Operational,1689,51,1638,13,1676
2423,Other,414,15,399,0,414
2423,Scientific and Professional,6927,367,6560,207,6720
2423,Technical,2861,90,2771,273,2588
2425,Administrative Support,1730,35,1695,0,1730
2425,Administrative and Foreign Service,2356,49,2307,0,2356
2425,Executive Group,17,4,13,0,17
